model,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1_score,roc_auc,pr_auc,predicted_positive_rate,true_negatives,false_positives,false_negatives,true_positives
XGBoost - Scale Pos Weight,0.6581208053691275,0.6306750234132987,0.1847063169560399,0.5952380952380952,0.6661119515885022,0.28192839018889204,0.6800352775376414,0.23732451806246907,0.36335570469798656,8806,4414,680,1000
CatBoost - Native Categoricals,0.6605369127516778,0.6304778113968734,0.18524040253447632,0.5916666666666667,0.6692889561270802,0.2821458983820607,0.678097714501837,0.23666481399432393,0.36013422818791946,8848,4372,686,994
HistGradientBoosting - Balanced Weights,0.6571140939597315,0.6256911425689792,0.18220574606116774,0.5851190476190476,0.6662632375189107,0.2778798586572438,0.6766148422303868,0.23962161755953842,0.36208053691275166,8808,4412,697,983
Random Forest - Class Weighted,0.6495302013422819,0.6237554931200922,0.17951501990589938,0.5904761904761905,0.6570347957639939,0.27532611712461835,0.6716942223182768,0.2174853210582954,0.37087248322147653,8686,4534,688,992
Logistic Regression - Class Weighted,0.6697986577181209,0.62010932209495,0.1828504306969459,0.555952380952381,0.6842662632375189,0.2751915144372422,0.6693989986312225,0.2259181883594484,0.3428187919463087,9046,4174,746,934
Decision Tree - Class Weighted,0.6303355704697987,0.6165757150061235,0.1722602739726027,0.5988095238095238,0.6343419062027231,0.2675531914893617,0.6568528924429076,0.2079686045089777,0.3919463087248322,8386,4834,674,1006
Extra Trees - Class Weighted,0.6345637583892617,0.6109047438945321,0.17060367454068243,0.5803571428571429,0.6414523449319214,0.26369168356997974,0.6563857070816224,0.20930299808555025,0.38355704697986576,8480,4740,705,975
Logistic Regression - Unweighted,0.8879194630872483,0.5089515344715798,0.5892857142857143,0.0196428571428571,0.9982602118003026,0.0380184331797235,0.6673499747856783,0.2258668936475552,0.0037583892617449,13197,23,1647,33
Dummy - Most Frequent Class,0.887248322147651,0.5,0.0,0.0,1.0,0.0,0.5,0.1127516778523489,0.0,13220,0,1680,0
