rank,original_feature,total_mean_absolute_shap,max_single_mean_absolute_shap,mean_shap,number_transformed_features
1,discharge_disposition_id,2.4369168,0.599496,0.05143366,17
2,medical_specialty_group,1.6290668,0.25995293,-0.03329675,18
3,diag_1_group,0.7713597,0.17547642,-0.0009790243,10
4,diag_2_group,0.551751,0.31750828,0.023078732,10
5,diag_3_group,0.5263631,0.11715868,0.01270726,10
6,age,0.48608378,0.13348469,-0.0122698555,10
7,number_inpatient,0.29954582,0.29954582,-0.07004651,1
8,race,0.28342,0.11892003,-0.015989674,6
9,glyburide,0.25003788,0.19319347,-0.054302007,4
10,acarbose,0.21712092,0.21710077,-0.072373636,3
11,admission_type_group,0.19853486,0.09501961,-0.031237077,5
12,A1Cresult,0.19526416,0.08074484,-0.035156637,4
13,diabetesMed,0.17613956,0.16854224,-0.08053796,2
14,glipizide,0.1491629,0.08778716,0.020145303,4
15,insulin,0.12943682,0.07983867,0.011257881,4
16,max_glu_serum,0.094969526,0.05383791,0.017044958,4
17,metformin,0.08137886,0.034022294,-0.0019460323,4
18,num_medications,0.07770598,0.07770598,-0.04043896,1
19,pioglitazone,0.07427347,0.048403367,0.0058067976,4
20,num_lab_procedures,0.070386514,0.070386514,-0.053905528,1
21,admission_source_group,0.06725379,0.022127414,-0.0029735686,5
22,glimepiride,0.060553752,0.044641726,-0.014518144,4
23,rosiglitazone,0.055963073,0.030844204,0.001360785,4
24,time_in_hospital,0.047838785,0.047838785,-0.0077825235,1
25,gender,0.039125837,0.022740675,0.00215758,3
26,repaglinide,0.037547644,0.02658313,-0.0039046542,4
27,num_procedures,0.03219978,0.03219978,-0.009167884,1
28,change,0.030595599,0.02025167,-0.015232585,2
29,number_diagnoses,0.030094339,0.030094339,-0.008905278,1
30,number_emergency,0.011974613,0.011974613,-0.007890828,1
31,nateglinide,0.011379016,0.011301787,0.0028061394,4
32,number_outpatient,0.0100797,0.0100797,-0.0063179685,1
33,glyburide-metformin,0.00011482798,0.00011482798,3.8275994e-05,3
34,chlorpropamide,0.0,0.0,0.0,3
35,acetohexamide,0.0,0.0,0.0,2
36,miglitol,0.0,0.0,0.0,3
37,metformin-rosiglitazone,0.0,0.0,0.0,2
38,metformin-pioglitazone,0.0,0.0,0.0,2
39,glipizide-metformin,0.0,0.0,0.0,2
40,glimepiride-pioglitazone,0.0,0.0,0.0,2
41,tolazamide,0.0,0.0,0.0,3
42,tolbutamide,0.0,0.0,0.0,2
43,troglitazone,0.0,0.0,0.0,2
